q0,q1,q2,q3,q4,q5
0.0,0.0,0.0,0.0,0.0,0.0
-0.004,-0.004,0.004,0.004,-0.004,0.004
0.0,0.0,0.0,0.0,-0.008,0.008
0.004,0.004,-0.004,-0.004,-0.012,0.012
0.00044858176,0.008,-0.008,-0.008,-0.016,0.016
0.004448582,0.012,-0.012,-0.012,-0.020000001,0.020000001
0.005622581,0.016,-0.016,-0.016,-0.024000002,0.024000002
0.009020708,0.020000001,-0.020000001,-0.020000001,-0.020000001,0.028000003
0.013020707,0.024000002,-0.024000002,-0.024000002,-0.016,0.032
0.011025438,0.028000003,-0.028000003,-0.028000003,-0.015962288,0.036000002
0.015025439,0.032,-0.032,-0.032,-0.011962287,0.040000003
0.016179075,0.035579074,-0.036000002,-0.036000002,-0.012081106,0.044000003
0.017438278,0.03468161,-0.040000003,-0.040000003,-0.011248269,0.048000004
0.019728012,0.03232517,-0.044000003,-0.044000003,-0.0130081205,0.052000005
0.022056079,0.031456005,-0.048000004,-0.048000004,-0.014482707,0.056000005
0.02243979,0.031074092,-0.052000005,-0.052000005,-0.016025137,0.060000006
0.024866788,0.029086241,-0.056000005,-0.056000005,-0.020025138,0.06275499
0.024870832,0.02891151,-0.060000006,-0.060000006,-0.021420825,0.063979566
0.027316919,0.027634455,-0.064,-0.064,-0.024668662,0.061192136
0.028075173,0.025993634,-0.068,-0.068,-0.027523655,0.05996389
0.029773375,0.024782566,-0.072000004,-0.072000004,-0.0292358,0.058697015
0.033773374,0.020782566,-0.076000005,-0.076000005,-0.0332358,0.054697014
0.034273006,0.018460725,-0.080000006,-0.080000006,-0.0372358,0.053801544
0.038273007,0.014460724,-0.08400001,-0.08400001,-0.0412358,0.050561976
0.035792135,0.014643624,-0.08800001,-0.08800001,-0.04444216,0.049056064
0.039792135,0.010842771,-0.09200001,-0.09200001,-0.04844216,0.047635943
0.041437697,0.009491674,-0.09600001,-0.09600001,-0.051228583,0.047384776
0.040885694,0.009373165,-0.10000001,-0.10000001,-0.0539742,0.045287814
0.040822733,0.007941551,-0.10400001,-0.10400001,-0.05656773,0.045433648
0.043134104,0.00561633,-0.10800001,-0.10800001,-0.06056773,0.044612695
0.04357097,0.00442675,-0.11200001,-0.11200001,-0.06456773,0.044421643
0.04462303,0.004054379,-0.11600001,-0.11600001,-0.06856773,0.04236376
0.044223256,0.002411052,-0.12000001,-0.12000001,-0.070553266,0.04417377
0.04499918,0.0018722223,-0.12400001,-0.12400001,-0.0740082,0.04273714
0.04548605,-0.00014366291,-0.128,-0.128,-0.07704943,0.044059042
0.046245504,-0.00046671738,-0.132,-0.132,-0.079838,0.042547286
0.046515875,-0.0020413573,-0.13424051,-0.13599999,-0.082043834,0.043700673
0.04681776,-0.0012718923,-0.13461761,-0.13999999,-0.08575236,0.039700672
0.04694207,-0.0048069814,-0.13296205,-0.14399998,-0.08531192,0.043700673
0.047036957,-0.0024025922,-0.13398643,-0.14799997,-0.089185245,0.039700672
0.047011994,-0.0044313166,-0.1331685,-0.15199997,-0.09029219,0.041513573
0.04630487,-0.004453233,-0.13251147,-0.15599996,-0.09161337,0.040373664
0.045965027,-0.004387896,-0.13255005,-0.15999995,-0.092792355,0.03932127
0.045893755,-0.005393462,-0.1318839,-0.16399994,-0.0938614,0.039879117
0.04534134,-0.0051359124,-0.13167693,-0.16799994,-0.094689,0.038526036
0.045225263,-0.005978407,-0.1311275,-0.17199993,-0.095383726,0.03899015
0.04340406,-0.0048464905,-0.13019358,-0.17599992,-0.09562107,0.036510263
0.044517506,-0.006668573,-0.12933722,-0.17999992,-0.09536483,0.038700204
0.043361425,-0.0060709757,-0.12710887,-0.18399991,-0.093876354,0.0375369
0.042294286,-0.0054555605,-0.12632318,-0.1879999,-0.0936062,0.035932656
0.04203687,-0.0060747373,-0.12342353,-0.1919999,-0.09119505,0.03697453
0.041870147,-0.006372526,-0.12049204,-0.19599989,-0.08831969,0.037756853
0.04093608,-0.0061974013,-0.120409384,-0.19999988,-0.08875253,0.03646074
0.040221356,-0.006040188,-0.11887691,-0.20399988,-0.08735597,0.035919327
0.03865282,-0.006038354,-0.11796524,-0.20799987,-0.08706597,0.034910392
0.038816433,-0.005796807,-0.11565188,-0.21199986,-0.08394383,0.03509905
0.038142063,-0.0058226534,-0.114411354,-0.21599986,-0.08263686,0.034631487
0.038106013,-0.0061491146,-0.11235668,-0.21999985,-0.080269404,0.035314243
0.037459757,-0.0052413954,-0.11112628,-0.22399984,-0.0779983,0.03388589
0.03688095,-0.005649008,-0.1099863,-0.22799984,-0.07662059,0.033838123
0.035807557,-0.0054336074,-0.10913996,-0.23199983,-0.075492926,0.032822978
0.035378926,-0.0055864598,-0.10785823,-0.23599982,-0.073518924,0.03266528
0.034839272,-0.0053899805,-0.10666933,-0.23999982,-0.07160525,0.032086544
0.03396614,-0.004955342,-0.10538107,-0.24399981,-0.069529004,0.031229172
0.03335091,-0.0050869333,-0.10441872,-0.2479998,-0.06778905,0.030784518
0.032827508,-0.0049453853,-0.10334066,-0.2519998,-0.06587419,0.030219037
0.033457667,-0.0052388124,-0.10130846,-0.2559998,-0.06289118,0.03137684
0.031219026,-0.004665976,-0.10129865,-0.2599998,-0.06203688,0.028800039
0.030001223,-0.004384003,-0.100339465,-0.26399982,-0.06009539,0.027785791
0.029145796,-0.00445211,-0.0991972,-0.26799983,-0.05796938,0.027333314
0.028648142,-0.00393705,-0.098238744,-0.27199984,-0.055826973,0.02649503
0.027072003,-0.004005886,-0.09740755,-0.27599984,-0.053910848,0.025483627
0.026435738,-0.0035850604,-0.09657376,-0.27999985,-0.05177207,0.02472788
0.025183124,-0.0038366013,-0.09573061,-0.28399986,-0.04971346,0.024195602
0.023450896,-0.003585079,-0.095059946,-0.28799987,-0.04621522,0.025017226
0.022688713,-0.0043326463,-0.09423323,-0.29199988,-0.045316335,0.02331446
0.021585375,-0.0035805497,-0.09333756,-0.29599988,-0.041762006,0.024035467
0.018787054,-0.0028276856,-0.09366,-0.2999999,-0.03879161,0.023476763
0.018481987,-0.0039578616,-0.09136484,-0.3039999,-0.034960534,0.025802357
0.0155077,-0.0039841197,-0.091657154,-0.3079999,-0.03291635,0.02350768
0.015001322,-0.0033964794,-0.090721086,-0.31199992,-0.029616876,0.0247375
