q0,q1,q2,q3,q4,q5
0.0,0.0,0.0,0.0,0.0,0.0
-0.004,-0.004,0.004,-0.004,-0.004,-0.004
-0.008,0.0,0.0,0.0,0.0,0.0
-0.012,0.004,-0.004,0.004,0.004,0.004
-0.016,0.008,-0.008,0.008,0.008,0.008
-0.020000001,0.012,-0.012,0.012,0.012,0.012
-0.022699324,0.016,-0.016,0.016,0.016,0.016
-0.022457797,0.020000001,-0.020000001,0.020000001,0.020000001,0.020000001
-0.02276863,0.024000002,-0.024000002,0.024000002,0.024000002,0.024000002
-0.02676863,0.028000003,-0.028000003,0.028000003,0.028000003,0.028000003
-0.023669273,0.032,-0.032,0.032,0.032,0.032
-0.022511175,0.036000002,-0.036000002,0.036000002,0.036000002,0.036000002
-0.026511176,0.040000003,-0.040000003,0.040000003,0.040000003,0.040000003
-0.030511176,0.044000003,-0.044000003,0.044000003,0.044000003,0.044000003
-0.034511175,0.048000004,-0.048000004,0.048000004,0.048000004,0.048000004
-0.038511176,0.052000005,-0.052000005,0.052000005,0.052000005,0.052000005
-0.041663036,0.056000005,-0.056000005,0.056000005,0.056000005,0.056000005
-0.045663036,0.060000006,-0.060000006,0.060000006,0.060000006,0.060000006
-0.049663037,0.064,-0.064,0.061429303,0.064,0.064
-0.053663038,0.068,-0.068,0.059997767,0.068,0.068
-0.05766304,0.072000004,-0.072000004,0.057167064,0.072000004,0.072000004
-0.06166304,0.076000005,-0.076000005,0.053167064,0.076000005,0.076000005
-0.060264435,0.080000006,-0.080000006,0.052142687,0.080000006,0.080000006
-0.060248524,0.08400001,-0.08400001,0.05047353,0.08400001,0.08400001
-0.061749276,0.08800001,-0.08800001,0.04647353,0.08800001,0.08800001
-0.06223036,0.09200001,-0.09200001,0.04247353,0.09200001,0.09200001
-0.06277445,0.09600001,-0.09600001,0.038831104,0.09559747,0.09600001
-0.06355148,0.10000001,-0.10000001,0.034831103,0.099154525,0.10000001
-0.06360735,0.10400001,-0.10400001,0.030831102,0.101964526,0.10400001
-0.0635483,0.10800001,-0.10800001,0.029703116,0.10202553,0.10800001
-0.06368481,0.11200001,-0.11200001,0.027185423,0.10358367,0.11200001
-0.06364884,0.11600001,-0.11600001,0.024165094,0.10580202,0.11600001
-0.06374424,0.11795086,-0.12000001,0.022194164,0.10680059,0.12000001
-0.06383007,0.12195086,-0.12400001,0.018194163,0.10915325,0.12400001
-0.0632099,0.119985096,-0.128,0.020216273,0.10981792,0.128
-0.06344891,0.1239851,-0.132,0.016216272,0.11084614,0.132
-0.06341407,0.12744658,-0.13599999,0.012722142,0.11231635,0.13599999
-0.062976696,0.1268817,-0.13999999,0.01353093,0.11346187,0.13999999
-0.06281417,0.12908258,-0.14399998,0.0114680305,0.114571266,0.14399998
-0.062467437,0.12992145,-0.14799997,0.010632967,0.11637866,0.14799997
-0.062174458,0.1294894,-0.15199997,0.011136685,0.11734799,0.15199997
-0.061739035,0.12977682,-0.15599996,0.0111950785,0.11798582,0.15599996
-0.061603684,0.13117841,-0.15999995,0.009364368,0.1202262,0.15999995
-0.061093338,0.12983988,-0.16399994,0.011002043,0.12039067,0.16399994
-0.060715985,0.1297665,-0.16799994,0.011711449,0.12010323,0.16799994
-0.060194828,0.13022211,-0.17199993,0.010657895,0.12283001,0.17199993
-0.059393,0.12866749,-0.17599992,0.01315171,0.122189894,0.17599992
-0.059362024,0.13026021,-0.17999992,0.010684585,0.12498637,0.17999992
-0.058870137,0.12978521,-0.18322575,0.0110304905,0.12618442,0.18399991
-0.058591343,0.12975323,-0.1837342,0.011031277,0.12711363,0.1879999
-0.057277042,0.1283003,-0.18395403,0.012424374,0.12926003,0.1919999
-0.05735767,0.12877376,-0.18453425,0.011892431,0.1297432,0.19599989
-0.056695707,0.1277061,-0.18444863,0.012913044,0.13081424,0.19999988
-0.056110144,0.12673654,-0.18425299,0.013886568,0.13180225,0.20399988
-0.055673994,0.1256359,-0.18406104,0.014885472,0.13248418,0.20799987
-0.055168997,0.12448764,-0.18372646,0.015959276,0.13320145,0.21199986
-0.054688152,0.123383634,-0.18338121,0.0169879,0.13390782,0.21599986
-0.054195266,0.12225918,-0.18298934,0.018031271,0.13462448,0.21999985
-0.053680938,0.12109367,-0.18252933,0.01911417,0.13535452,0.22399984
-0.05317765,0.119938865,-0.1820409,0.020183295,0.13606265,0.22799984
-0.052633412,0.11869186,-0.18146493,0.021350041,0.13685478,0.23199983
-0.052505285,0.119020514,-0.18148752,0.02118448,0.13752967,0.23599982
-0.051773608,0.11646823,-0.18036397,0.023409499,0.13794218,0.23999982
-0.051094074,0.114474095,-0.17941478,0.025160179,0.1384615,0.24399981
-0.050862145,0.11431018,-0.17925242,0.025388137,0.13926844,0.2479998
-0.050162416,0.112019435,-0.17789274,0.02750277,0.13948016,0.2519998
-0.049939267,0.11176119,-0.17771196,0.027771303,0.14013919,0.2559998
-0.04948546,0.11036058,-0.17675939,0.029121315,0.140378,0.2599998
-0.049227893,0.10988418,-0.17645247,0.02958124,0.14095303,0.26399982
-0.048534658,0.108277045,-0.17534642,0.03107383,0.14170691,0.26799983
-0.047850538,0.10624949,-0.1735285,0.033189207,0.14205427,0.27199984
-0.0476214,0.10595273,-0.17344317,0.033410244,0.14269263,0.27599984
-0.047102164,0.104402445,-0.17209208,0.035017036,0.14299849,0.27999985
-0.04657333,0.10285457,-0.17076154,0.03659179,0.1434206,0.28399986
-0.04633186,0.10226854,-0.17027727,0.03713855,0.14383422,0.28799987
-0.04595947,0.10098808,-0.16920309,0.038312864,0.14418145,0.29199988
-0.045694675,0.09951567,-0.16782959,0.03971236,0.14402984,0.29599988
-0.0462085,0.10144359,-0.17013568,0.037378266,0.14494325,0.2999999
-0.045528837,0.09744359,-0.16613568,0.041378267,0.14349562,0.3039999
-0.045462526,0.09495712,-0.16346489,0.043499213,0.14271685,0.3079999
-0.04571326,0.095877714,-0.1647113,0.042270854,0.1435592,0.31199992
-0.045706637,0.09407022,-0.16283433,0.043872368,0.14256431,0.314
-0.045785975,0.0930712,-0.1619077,0.044568416,0.14211176,0.314
-0.045887936,0.09239271,-0.16138856,0.044845667,0.14193535,0.314
-0.046023946,0.09129001,-0.16034886,0.045633234,0.14125301,0.314
-0.0461071,0.09094867,-0.16026126,0.045568626,0.1412539,0.314
